Glassy carbon of AlfaAesar		
Data was measured at SPring8 Bl03 and properly corrected with a glassy carbon from NIST SRM 3600		
q	i	s
0.45469499	0.51700407	0
0.45559701	0.51411617	0
0.45649901	0.50987691	0
0.45740101	0.50659716	0
0.45830399	0.50451684	0
0.45920601	0.50156605	0
0.46010801	0.49805692	0
0.46101001	0.49496156	0
0.46191201	0.49224225	0
0.462814	0.48853096	0
0.463716	0.4869042	0
0.464618	0.48448026	0
0.46551999	0.48115864	0
0.46642199	0.4777019	0
0.46732399	0.47521198	0
0.46822599	0.47181076	0
0.46912801	0.46792561	0
0.470029	0.46581906	0
0.47093099	0.46411479	0
0.47183299	0.46104243	0
0.47273499	0.45710805	0
0.47363701	0.4552854	0
0.474538	0.45312127	0
0.47544	0.45101476	0
0.47634199	0.4477151	0
0.47724301	0.44524512	0
0.478145	0.44207641	0
0.479047	0.44072726	0
0.47994801	0.43840179	0
0.48085001	0.43453652	0
0.48175201	0.43316534	0
0.48265299	0.42971593	0
0.48355499	0.42836463	0
0.484456	0.4251509	0
0.485358	0.42265788	0
0.48625901	0.42086139	0
0.48716101	0.41767281	0
0.48806199	0.41564068	0
0.48896301	0.41480163	0
0.48986501	0.41179425	0
0.49076599	0.40933889	0
0.491667	0.40684587	0
0.492569	0.40357032	0
0.49347001	0.40228817	0
0.494371	0.39979407	0
0.49527201	0.39781746	0
0.49617401	0.39554229	0
0.49707499	0.39348185	0
0.49797601	0.39128003	0
0.49887699	0.38906768	0
0.499778	0.38731942	0
0.50067902	0.38428688	0
0.50158	0.38283715	0
0.50248098	0.38172892	0
0.50338203	0.3790054	0
0.50428301	0.37584823	0
0.50518399	0.37369666	0
0.50608498	0.37296239	0
0.50698602	0.37062645	0
0.50788701	0.36831358	0
0.50878799	0.3663097	0
0.50968897	0.36385331	0
0.51059002	0.36287704	0
0.511491	0.36100096	0
0.51239097	0.35881379	0
0.51329201	0.35658997	0
0.514193	0.35574776	0
0.51509398	0.35367894	0
0.51599401	0.35130218	0
0.516895	0.34960732	0
0.51779598	0.34825397	0
0.51869601	0.34632653	0
0.51959699	0.34526646	0
0.52049702	0.3425985	0
0.52139801	0.33933869	0
0.52229798	0.3384766	0
0.52319902	0.33758935	0
0.52409899	0.33638892	0
0.52499998	0.33349153	0
0.52590001	0.33240318	0
0.52680099	0.33073029	0
0.52770102	0.3281545	0
0.52860099	0.32710388	0
0.52950197	0.32523513	0
0.530402	0.32352769	0
0.53130198	0.32185277	0
0.53220302	0.321417	0
0.53310299	0.3189784	0
0.53400302	0.31697559	0
0.53490299	0.31581077	0
0.53580302	0.31322762	0
0.536704	0.3127856	0
0.53760397	0.31072411	0
0.538504	0.30981386	0
0.53940398	0.30809802	0
0.54030401	0.30775025	0
0.54120398	0.30529284	0
0.54210401	0.30397508	0
0.54300398	0.30208012	0
0.54390401	0.30008465	0
0.54480398	0.30013287	0
0.54570299	0.297093	0
0.54660302	0.29660696	0
0.54750299	0.29515094	0
0.54840302	0.29314601	0
0.549303	0.29209015	0
0.55020201	0.29146057	0
0.55110198	0.28905869	0
0.55200201	0.2878446	0
0.55290198	0.28658551	0
0.553801	0.28501323	0
0.55470097	0.28367767	0
0.55559999	0.28230649	0
0.55650002	0.28141087	0
0.55739999	0.27927396	0
0.55829901	0.27839407	0
0.55919898	0.27678931	0
0.56009799	0.27608016	0
0.56099701	0.27478963	0
0.56189698	0.27345407	0
0.562796	0.27197289	0
0.56369603	0.27128783	0
0.56459498	0.27037022	0
0.565494	0.26844913	0
0.56639397	0.26705801	0
0.56729299	0.26581988	0
0.56819201	0.26472211	0
0.56909102	0.26318544	0
0.56999099	0.2628094	0
0.57089001	0.26142144	0
0.57178903	0.26048708	0
0.57268798	0.25934213	0
0.573587	0.2572597	0
0.57448602	0.2568711	0
0.57538497	0.25534907	0
0.57628399	0.25382915	0
0.57718301	0.25319541	0
0.57808203	0.25218457	0
0.57898098	0.25143769	0
0.57988	0.24913949	0
0.58077902	0.24915729	0
0.58167702	0.24708639	0
0.58257598	0.24628507	0
0.58347499	0.24573512	0
0.58437401	0.24451374	0
0.58527303	0.2431258	0
0.58617097	0.24197982	0
0.58706999	0.24139322	0
0.58796901	0.23995502	0
0.58886701	0.23888132	0
0.58976603	0.23803914	0
0.59066403	0.23678946	0
0.59156299	0.23615886	0
0.59246099	0.23413719	0
0.59336001	0.23394655	0
0.59425801	0.23266441	0
0.59515703	0.2316431	0
0.59605497	0.23085015	0
0.59695399	0.22949678	0
0.59785199	0.22921395	0
0.59875	0.22838956	0
0.59964901	0.22697859	0
0.60054702	0.22632389	0
0.60144502	0.22537276	0
0.60234302	0.22453897	0
0.60324103	0.22378057	0
0.60413998	0.22291324	0
0.60503799	0.22068207	0
0.60593599	0.22103192	0
0.60683399	0.22021592	0
0.607732	0.21885209	0
0.60863	0.21817225	0
0.60952801	0.21797533	0
0.61042601	0.21669422	0
0.61132401	0.21506956	0
0.61222202	0.21463275	0
0.61312002	0.21360305	0
0.61401701	0.21288657	0
0.61491501	0.21158558	0
0.61581302	0.21118753	0
0.61671102	0.21033171	0
0.61760801	0.20938478	0
0.61850601	0.20908728	0
0.61940402	0.20748252	0
0.62030202	0.20688544	0
0.62119901	0.20641616	0
0.62209702	0.2058107	0
0.62299401	0.20475379	0
0.62389201	0.20377542	0
0.624789	0.20285152	0
0.625687	0.20145625	0
0.62658399	0.20065805	0
0.627482	0.2001144	0
0.62837899	0.19983786	0
0.62927598	0.19888674	0
0.63017398	0.19847402	0
0.63107097	0.19789998	0
0.63196802	0.19628474	0
0.63286602	0.19571385	0
0.63376302	0.19509059	0
0.63466001	0.19389434	0
0.635557	0.19346698	0
0.63645399	0.19337583	0
0.63735098	0.19211674	0
0.63824803	0.19195648	0
0.63914502	0.19103259	0
0.64004201	0.1902082	0
0.640939	0.18989603	0
0.64183599	0.18816662	0
0.64273298	0.18723749	0
0.64363003	0.18669173	0
0.64452702	0.1863953	0
0.64542401	0.18639843	0
0.646321	0.185132	0
0.64721698	0.18344553	0
0.64811403	0.18384777	0
0.64901102	0.18271333	0
0.64990801	0.18237394	0
0.65080398	0.18181562	0
0.65170097	0.18133168	0
0.65259701	0.18050939	0
0.653494	0.18021819	0
0.65438998	0.17921887	0
0.65528703	0.17904918	0
0.656183	0.17808233	0
0.65707999	0.17719196	0
0.65797597	0.17687248	0
0.65887302	0.17569402	0
0.659769	0.17479841	0
0.66066498	0.17391539	0
0.66156203	0.17506135	0
0.662458	0.17282388	0
0.66335398	0.17275371	0
0.66425002	0.1714548	0
0.66514599	0.17158888	0
0.66604298	0.17113741	0
0.66693902	0.17146213	0
0.667835	0.17061365	0
0.66873097	0.16937761	0
0.66962701	0.16891357	0
0.67052299	0.16835105	0
0.67141902	0.16531749	0
0.672315	0.1670354	0
0.67321098	0.16695894	0
0.674106	0.16555004	0
0.67500198	0.16561708	0
0.67589802	0.16458425	0
0.67679399	0.16403954	0
0.67769003	0.16320574	0
0.67858499	0.16258666	0
0.67948103	0.16096827	0
0.68037701	0.16270609	0
0.68127197	0.16116835	0
0.68216801	0.16156639	0
0.68306297	0.15887013	0
0.68395901	0.15872872	0
0.68485397	0.1601816	0
0.68575001	0.15898117	0
0.68664497	0.15862083	0
0.68754101	0.15731984	0
0.68843597	0.1572727	0
0.689331	0.15771788	0
0.69022697	0.15614559	0
0.691122	0.1548603	0
0.69201702	0.15428208	0
0.69291198	0.15483622	0
0.69380701	0.15449788	0
0.69470203	0.15343152	0
0.69559801	0.15367036	0
0.69649303	0.15416268	0
0.69738799	0.15375623	0
0.69828302	0.151722	0
0.69917798	0.15119405	0
0.700073	0.15229917	0
0.70096803	0.14968671	0
0.70186198	0.15076773	0
0.702757	0.15062107	0
0.70365202	0.15036862	0
0.70454699	0.14849254	0
0.70544201	0.14825791	0
0.70633602	0.14887594	0
0.70723099	0.14768912	0
0.70812601	0.14720623	0
0.70902002	0.14689197	0
0.70991498	0.14560041	0
0.71080899	0.14587276	0
0.71170402	0.14398202	0
0.71259803	0.14378195	0
0.71349299	0.1444869	0
0.714387	0.14438321	0
0.71528202	0.14437589	0
0.71617597	0.14296594	0
0.71706998	0.14251655	0
0.71796501	0.14155811	0
0.71885902	0.14121766	0
0.71975303	0.14154343	0
0.72064698	0.1405106	0
0.721542	0.14046872	0
0.72243601	0.13874976	0
0.72333002	0.13945785	0
0.72422397	0.13927245	0
0.72511798	0.13809298	0
0.72601199	0.13920645	0
0.726906	0.13785206	0
0.72780001	0.13788138	0
0.72869402	0.13831818	0
0.72958702	0.13727592	0
0.73048103	0.13677731	0
0.73137498	0.13692501	0
0.73226899	0.1359278	0
0.733163	0.13543336	0
0.734056	0.13507931	0
0.73495001	0.1341418	0
0.73584402	0.13340226	0
0.73673701	0.13443404	0
0.73763102	0.13335933	0
0.73852402	0.13413762	0
0.73941803	0.13201956	0
0.74031103	0.13173045	0
0.74120498	0.13035718	0
0.74209797	0.13214631	0
0.74299097	0.1306285	0
0.74388498	0.13025033	0
0.74477798	0.13007437	0
0.74567097	0.1296386	0
0.74656397	0.12965012	0
0.74745798	0.12982714	0
0.74835098	0.12888335	0
